,Rk,Team,Conf,G,Rec,AdjOE,AdjDE,Barthag,EFG%,EFGD%,TOR,TORD,ORB,DRB,FTR,FTRD,2P%,2P%D,3P%,3P%D,3PR,3PRD,Adj T.,WAB,Date
1162,18,Arkansas,SEC,1,1–0 1–0,105.1 114,83.4 18,.9342 18,46.4 178,42.7 45,27.6 245,23.3 51,39.4 29,28.2 135,32.7 119,30.9 129,47.4 162,44.4 70,29.4 166,26.3 58,30.9 193,34.5 102,67.3 139,+0.7 2,2022-01-15
1163,20,Notre Dame,ACC,1,0–1 0–1,135.6 2,109.5 186,.9207 20,53.6 91,69.4 256,4.9 2,16.4 166,23.3 181,21.7 63,32.1 122,30.6 126,48.6 149,65.5 242,42.1 55,50.0 237,33.9 163,40.8 166,64.5 204,-0.22 136,2022-01-15
1164,21,Northwestern,B10,1,1–0 1–0,103.1 129,83.5 19,.9187 21,40.9 225,49.0 109,15.0 67,25.4 29,38.6 34,25.8 100,25.8 167,27.5 103,37.5 234,53.3 165,30.8 149,28.6 80,39.4 110,41.2 170,66.4 165,+0.7 5,2022-01-15
1165,22,Washington,P12,1,1–0 1–0,110.6 73,90.0 43,.9143 22,44.1 203,51.0 145,12.1 29,31.7 1,25.6 160,50.0 254,37.3 89,46.9 226,35.5 246,55.2 183,35.7 98,30.0 97,47.5 37,40.8 166,67.3 139,+0.16 50,2022-01-15
1166,27,Oklahoma,B12,1,0–1 0–1,92.8 199,76.0 7,.9088 27,44.2 201,47.4 94,28.1 249,26.6 20,27.8 131,29.7 151,8.3 254,19.3 46,50.0 126,51.2 135,22.7 222,25.0 51,36.7 134,28.1 46,64.6 202,-0.29 139,2022-01-15
1167,28,Wake Forest,ACC,1,1–0 1–0,112.4 64,92.1 59,.9074 28,51.0 113,40.5 32,22.2 193,18.7 125,44.8 12,40.5 233,27.5 154,20.7 55,51.5 112,35.6 14,33.3 115,38.5 179,35.3 147,22.4 13,66.4 165,+0.6 10,2022-01-15
1168,36,Duke,ACC,1,1–0 1–0,122.9 18,102.2 119,.8935 36,61.7 29,44.7 63,17.5 112,16.0 172,48.4 9,48.9 253,40.0 68,13.3 13,66.0 15,46.4 88,30.8 149,26.3 58,21.7 249,25.3 30,68.6 113,+0.16 54,2022-01-15
1169,37,Florida St.,ACC,1,1–0 1–0,120.5 22,100.1 106,.8934 37,66.7 5,53.9 171,15.8 83,19.0 118,19.2 214,28.6 138,25.5 169,37.3 169,51.6 111,50.0 118,60.0 2,41.2 195,39.2 113,33.3 86,62.5 228,+0.6 7,2022-01-15
1170,39,Pittsburgh,ACC,1,1–0 1–0,96.8 186,80.7 13,.8905 39,47.3 166,39.5 23,16.3 90,13.3 213,20.0 206,10.5 3,34.5 112,19.3 46,54.1 88,41.4 47,22.2 224,25.0 51,32.7 175,49.1 227,67.5 137,+0.16 53,2022-01-15
1171,43,Rutgers,B10,1,1–0 1–0,103.5 125,87.6 32,.8720 43,57.1 59,38.9 19,24.0 214,21.0 85,29.0 114,30.6 154,16.1 232,35.2 154,50.0 126,41.4 47,45.5 37,24.0 49,39.3 111,46.3 210,67.1 144,+0.5 17,2022-01-15
1172,46,Missouri,SEC,1,0–1 0–1,100.0 155,85.5 26,.8590 46,50.9 115,41.3 35,23.7 211,13.9 210,16.1 233,29.3 147,28.3 144,34.9 152,50.0 126,43.5 62,36.4 91,23.5 41,20.8 252,27.0 39,72.5 47,-0.6 156,2022-01-15
1173,47,Arizona,P12,1,1–0 1–0,105.4 111,90.4 46,.8535 47,53.1 95,46.4 78,21.9 190,27.3 16,39.4 29,33.3 179,24.6 175,21.4 63,63.8 24,42.5 56,16.7 244,37.5 173,27.7 216,28.6 48,74.0 18,+0.16 56,2022-01-15
1174,48,Mississippi,SEC,1,0–1 0–1,128.0 7,110.2 187,.8493 48,51.9 105,56.9 196,21.6 182,9.3 250,33.3 65,24.1 86,27.8 147,27.6 106,50.0 126,63.6 234,36.4 91,32.0 120,40.7 94,43.1 184,62.2 234,-0.42 147,2022-01-15
1175,50,Mississippi St.,SEC,1,1–0 1–0,110.9 72,96.2 81,.8375 50,42.4 217,46.4 78,18.1 124,20.9 88,48.6 8,34.2 195,64.4 8,50.0 235,51.2 120,51.9 150,12.5 251,27.6 68,27.1 219,51.8 234,67.0 148,+0.41 22,2022-01-15
1176,51,Xavier,BE,1,1–0 1–0,113.5 55,98.6 95,.8356 51,46.9 171,58.0 206,12.0 27,27.9 11,30.2 107,21.4 60,44.6 45,17.9 37,46.9 166,54.3 174,31.3 145,42.9 205,24.6 231,37.5 129,75.4 12,+0.33 26,2022-01-15
1177,53,Alabama,SEC,1,0–1 0–1,115.9 41,101.3 114,.8254 53,46.4 178,42.4 42,20.9 171,18.1 134,34.2 64,48.6 251,50.0 23,64.4 251,51.9 109,51.2 135,27.6 190,12.5 7,51.8 25,27.1 40,73.5 27,-0.40 144,2022-01-15
1178,54,Virginia Tech,ACC,1,1–0 1–0,130.9 3,114.4 210,.8240 54,69.4 3,53.6 166,16.4 91,4.9 257,21.7 196,23.3 75,30.6 131,32.1 135,65.5 17,48.6 107,50.0 17,42.1 203,40.8 91,33.9 94,62.5 228,+0.40 23,2022-01-15
1179,55,Auburn,SEC,1,1–0 1–0,124.2 15,108.7 180,.8219 55,56.9 62,51.9 152,9.3 9,21.6 76,24.1 172,33.3 179,27.6 152,27.8 109,63.6 25,50.0 118,32.0 137,36.4 164,43.1 73,40.7 164,66.6 160,+0.45 19,2022-01-15
1180,59,TCU,B12,1,1–0 1–0,87.7 229,77.2 10,.8109 59,47.4 164,44.2 57,26.6 238,28.1 10,29.7 108,27.8 125,19.3 212,8.3 5,51.2 120,50.0 118,25.0 204,22.7 36,28.1 213,36.7 125,65.3 190,+0.42 21,2022-01-15
1181,61,UCLA,P12,1,1–0 1–0,112.5 62,99.2 100,.8092 61,63.8 18,50.9 137,15.2 71,24.4 41,26.7 143,36.7 209,55.3 16,14.0 16,77.1 1,45.9 76,16.7 244,40.0 187,25.5 226,35.1 109,66.1 174,+0.07 94,2022-01-15
1182,62,Marquette,BE,1,1–0 1–0,112.3 66,99.3 101,.8041 62,51.7 111,46.7 85,14.1 52,28.3 9,20.0 206,50.0 254,27.1 159,38.3 180,37.8 231,48.7 111,50.0 17,28.6 80,37.3 131,35.0 108,70.3 82,+0.31 28,2022-01-15
1183,63,LSU,SEC,1,0–1 0–1,97.8 176,86.7 28,.8006 63,42.7 214,46.4 78,23.3 207,27.6 14,28.2 124,39.4 229,30.9 130,32.7 139,44.4 188,47.4 96,26.3 199,29.4 91,34.5 156,30.9 65,65.4 185,-0.5 153,2022-01-15
1184,66,Creighton,BE,1,0–1 0–1,106.3 102,94.3 69,.7983 66,58.0 51,46.9 87,27.9 248,12.0 231,21.4 198,30.2 152,17.9 222,44.6 213,54.3 84,46.9 93,42.9 49,31.3 111,37.5 130,24.6 25,73.7 22,-0.37 142,2022-01-15
1185,67,Utah,P12,1,0–1 0–1,102.8 133,91.2 49,.7978 67,46.4 178,53.1 163,27.3 242,21.9 69,33.3 65,39.4 229,21.4 196,24.6 81,42.5 203,63.8 235,37.5 82,16.7 12,28.6 209,27.7 43,68.0 129,-0.16 132,2022-01-15
1186,70,Seton Hall,BE,1,0–1 0–1,108.4 86,97.4 91,.7737 70,46.7 174,51.7 147,28.3 250,14.1 206,50.0 3,20.0 48,38.3 78,27.1 98,48.7 147,37.8 26,28.6 172,50.0 237,35.0 151,37.3 128,66.7 157,-0.43 148,2022-01-15
1187,72,N.C. State,ACC,1,0–1 0–1,116.2 38,104.6 140,.7701 72,44.7 195,61.7 228,16.0 85,17.5 144,48.9 6,48.4 250,13.3 246,40.0 188,46.4 171,66.0 243,26.3 199,30.8 107,25.3 229,21.7 9,68.3 122,-0.14 131,2022-01-15
1188,76,Boston College,ACC,1,1–0 1–0,101.5 142,92.1 58,.7528 76,54.4 82,50.8 135,15.6 81,17.0 154,12.1 253,22.2 68,26.3 164,23.7 73,57.9 54,52.5 154,31.6 142,31.6 115,33.3 166,32.2 80,71.2 60,+0.6 12,2022-01-15
1189,78,Washington St.,P12,1,1–0 1–0,113.5 56,103.6 133,.7390 78,44.6 197,44.3 59,10.3 14,13.7 212,37.8 41,26.5 111,37.5 86,26.4 96,47.1 165,48.5 104,27.3 192,25.0 51,39.3 111,37.7 130,61.1 246,+0.14 67,2022-01-15
1190,82,California,P12,1,0–1 0–1,111.3 70,102.5 121,.7213 82,44.3 200,44.6 62,13.7 47,10.3 245,26.5 147,37.8 216,26.4 163,37.5 171,48.5 153,47.1 94,25.0 204,27.3 64,37.7 129,39.3 147,59.1 254,-0.34 140,2022-01-15
1191,89,Virginia,ACC,1,0–1 0–1,104.2 122,96.5 85,.7066 89,40.5 226,51.0 145,18.7 134,22.2 66,40.5 26,44.8 247,20.7 203,27.5 103,35.6 245,51.5 145,38.5 78,33.3 126,22.4 246,35.3 112,56.0 258,-0.6 160,2022-01-15
1192,91,West Virginia,B12,1,0–1 0–1,99.8 158,92.7 60,.6988 91,30.2 256,57.1 198,16.5 94,17.9 136,32.7 81,38.9 227,44.4 47,12.9 11,28.9 253,57.1 197,22.2 224,38.1 178,28.6 209,30.0 58,70.7 72,-0.10 130,2022-01-15
1193,96,Oregon St.,P12,1,0–1 0–1,113.2 57,106.2 158,.6757 96,50.9 115,63.8 241,24.4 218,15.2 185,36.7 48,26.7 113,14.0 243,55.3 243,45.9 179,77.1 258,40.0 67,16.7 12,35.1 149,25.5 32,67.4 138,-0.16 133,2022-01-15
1194,98,Clemson,ACC,1,0–1 0–1,102.1 137,96.0 80,.6704 98,50.8 123,54.4 177,17.0 104,15.6 177,22.2 191,12.1 6,23.7 185,26.3 94,52.5 105,57.9 204,31.6 142,31.6 115,32.2 179,33.3 86,72.7 44,-0.8 204,2022-01-15
1195,100,Vanderbilt,SEC,1,1–0 1–0,99.8 157,94.4 71,.6537 100,56.3 66,50.0 121,13.3 45,25.0 34,20.6 203,34.4 197,33.9 116,17.2 35,69.2 7,52.6 155,30.0 155,30.0 97,53.6 14,34.5 102,66.3 169,+0.24 38,2022-01-15
1196,104,Georgia,SEC,1,0–1 0–1,106.7 97,101.8 117,.6328 104,50.0 126,56.3 193,25.0 222,13.3 213,34.4 62,20.6 55,17.2 223,33.9 142,52.6 102,69.2 252,30.0 155,30.0 97,34.5 156,53.6 243,67.6 134,-0.7 172,2022-01-15
1197,110,Texas Tech,B12,1,0–1 0–1,86.4 232,82.9 16,.6183 110,43.8 208,50.9 137,27.3 242,24.2 43,20.0 206,28.1 130,25.0 173,12.5 10,48.4 156,50.0 118,23.5 214,34.6 147,35.4 143,46.4 211,66.7 157,-0.40 145,2022-01-15
1198,113,Texas,B12,1,0–1 0–1,118.5 30,113.8 206,.6139 113,53.8 89,66.7 252,29.0 253,20.3 92,33.3 65,18.5 36,34.6 109,31.4 133,53.3 91,67.9 250,36.4 91,43.5 212,42.3 79,45.1 205,69.9 90,-0.35 141,2022-01-15
1199,120,Maryland,B10,1,0–1 0–1,98.9 168,96.5 84,.5700 120,38.9 239,57.1 198,21.0 172,24.0 44,30.6 104,29.0 144,35.2 104,16.1 27,41.4 211,50.0 118,24.0 210,45.5 220,46.3 49,39.3 147,68.9 106,-0.7 184,2022-01-15
1200,124,Michigan St.,B10,1,0–1 0–1,96.4 187,94.4 70,.5600 124,49.0 147,40.9 34,25.4 230,15.0 191,25.8 156,38.6 224,27.5 154,25.8 92,53.3 91,37.5 21,28.6 172,30.8 107,41.2 89,39.4 149,66.2 170,-0.8 193,2022-01-15
1201,126,Syracuse,ACC,1,0–1 0–1,118.2 31,116.1 220,.5519 126,53.9 86,66.7 252,19.0 139,15.8 176,28.6 117,19.2 42,37.3 89,25.5 90,50.0 126,51.6 148,41.2 60,60.0 255,33.3 166,39.2 144,62.5 228,-0.8 198,2022-01-15
1202,127,Texas A&M,SEC,1,1–0 1–0,92.6 201,91.4 52,.5379 127,41.3 223,50.9 137,13.9 48,23.7 47,29.3 112,16.1 25,34.9 107,28.3 114,43.5 195,50.0 118,23.5 214,36.4 164,27.0 220,20.8 7,73.4 28,+0.30 29,2022-01-15
1203,135,Tennessee,SEC,1,0–1 0–1,121.1 20,121.0 238,.5028 135,62.9 21,77.7 258,27.4 244,16.4 166,33.3 65,26.3 109,19.0 214,37.5 171,57.1 59,71.1 253,47.8 27,61.1 258,39.7 104,32.1 78,72.4 49,-0.17 134,2022-01-15
1204,162,Georgia Tech,ACC,1,0–1 0–1,98.6 171,104.5 138,.3380 162,48.3 155,54.8 182,14.9 64,17.6 140,11.4 255,33.3 179,23.7 185,33.3 141,53.3 91,55.3 184,21.4 229,36.0 162,23.7 238,39.7 151,70.7 72,-0.21 135,2022-01-15
1205,163,South Carolina,SEC,1,0–1 0–1,100.0 154,106.1 156,.3370 163,40.0 230,62.2 234,14.0 50,23.3 51,43.8 15,32.0 165,6.7 256,30.6 126,34.0 248,74.1 256,36.4 91,31.8 118,29.3 203,44.9 202,65.8 179,-0.7 170,2022-01-15
1206,180,Baylor,B12,1,0–1 0–1,91.0 212,99.1 99,.2717 180,37.9 244,49.1 113,17.0 104,15.4 182,26.2 151,15.6 19,24.1 181,14.3 17,33.3 249,50.0 118,28.6 172,31.3 111,48.3 34,28.6 48,64.0 214,-0.6 157,2022-01-15
1207,187,Stanford,P12,1,0–1 0–1,94.7 192,104.6 139,.2415 187,51.0 113,44.1 54,31.7 258,12.1 230,50.0 3,25.6 97,46.9 33,37.3 169,55.2 76,35.5 13,30.0 155,35.7 158,40.8 91,47.5 219,63.9 216,-0.6 155,2022-01-15
1208,194,USC,P12,1,0–1 0–1,101.3 146,113.6 205,.2108 194,48.3 155,58.6 213,19.2 144,14.8 196,38.5 36,25.8 100,30.0 135,31.0 130,47.2 164,51.4 141,33.3 115,47.6 230,40.0 101,36.2 123,67.0 148,-0.7 179,2022-01-15
1209,210,Louisville,ACC,1,0–1 0–1,82.3 240,96.3 82,.1407 210,39.5 235,47.3 91,13.3 45,16.3 169,10.5 256,20.0 48,19.3 212,34.5 145,41.4 211,54.1 170,25.0 204,22.2 33,49.1 32,32.7 83,71.0 63,-0.8 194,2022-01-15
1210,212,Arizona St.,P12,1,0–1 0–1,88.6 223,104.2 137,.1337 212,38.1 243,51.7 147,11.5 25,15.9 175,12.2 252,27.8 125,25.4 170,37.9 174,39.5 224,45.5 73,23.8 211,40.0 187,35.6 142,43.1 184,69.1 101,-0.8 191,2022-01-15
1211,1,Villanova,BE,1,1–0 1–0,138.5 1,79.3 2,.9984 1,72.3 1,37.5 2,18.8 15,20.5 10,35.0 12,22.2 7,31.9 10,11.5 2,57.1 8,34.6 2,63.2 1,26.9 11,40.4 12,50.0 32,61.5 30,+0.16 7,2022-01-16
1212,3,Iowa,B10,1,1–0 1–0,124.3 2,95.7 10,.9527 3,52.2 10,56.4 30,11.7 5,20.4 15,38.5 8,21.9 6,23.5 24,25.5 14,60.9 3,56.4 26,22.7 29,37.5 26,32.4 17,29.1 10,70.8 1,+0.40 2,2022-01-16
1213,5,St. John's,BE,1,1–0 1–0,116.3 4,96.6 11,.8938 5,57.8 3,46.7 11,13.9 8,29.1 2,32.3 17,45.0 33,50.0 3,29.5 22,57.5 7,42.9 11,38.9 6,34.6 24,31.0 21,42.6 25,69.2 3,+0.10 9,2022-01-16
1214,6,Ohio St.,B10,1,1–0 1–0,104.2 13,89.2 5,.8565 6,42.0 27,45.3 10,14.5 9,16.2 21,28.1 20,20.0 4,81.8 1,26.4 17,43.8 23,48.4 16,25.0 25,27.3 12,27.3 26,41.5 24,67.1 12,+0.21 3,2022-01-16
1215,9,Penn St.,B10,1,0–1 0–1,94.2 24,87.1 4,.7122 9,45.3 25,42.0 7,16.2 13,14.5 26,20.0 31,28.1 15,26.4 18,81.8 34,48.4 19,43.8 12,27.3 22,25.0 10,41.5 11,27.3 9,63.8 26,-0.30 19,2022-01-16
1216,16,Minnesota,B10,1,0–1 0–1,104.5 12,103.5 17,.5288 16,56.4 5,52.2 25,20.4 20,11.7 30,21.9 29,38.5 27,25.5 20,23.5 11,56.4 9,60.9 32,37.5 9,22.7 6,29.1 25,32.4 18,66.0 16,-0.41 21,2022-01-16
1217,21,Georgetown,BE,1,0–1 0–1,104.1 14,110.4 26,.3366 21,46.7 23,57.8 32,29.1 33,13.9 27,45.0 2,32.3 18,29.5 13,50.0 31,42.9 24,57.5 28,34.6 11,38.9 29,42.6 8,31.0 14,65.9 17,-0.37 20,2022-01-16
1218,33,Butler,BE,1,0–1 0–1,87.2 31,115.3 30,.0384 33,37.5 32,72.3 34,20.5 21,18.8 20,22.2 28,35.0 23,11.5 33,31.9 24,34.6 33,57.1 27,26.9 24,63.2 34,50.0 3,40.4 23,63.1 27,-0.16 18,2022-01-16
1219,1,Purdue,B10,1,1–0 1–0,126.1 4,94.1 18,.9667 1,51.5 39,49.4 36,14.2 17,9.4 77,24.4 50,18.2 11,47.1 10,19.5 14,46.0 52,45.5 27,44.4 11,36.4 50,26.5 75,42.9 61,67.8 45,+0.8 1,2022-01-17
1220,6,Indiana,B10,1,1–0 1–0,119.3 7,98.2 37,.9035 6,58.0 16,52.9 49,20.7 55,19.2 38,34.6 16,25.0 34,56.0 6,41.2 62,62.2 10,52.9 50,30.8 51,35.3 48,26.0 76,33.3 28,63.6 74,+0.40 2,2022-01-17
1221,15,Illinois,B10,1,0–1 0–1,108.0 23,96.4 29,.7861 15,49.4 47,51.5 44,9.4 6,14.2 66,18.2 71,24.4 33,19.5 69,47.1 73,45.5 56,46.0 31,36.4 31,44.4 71,42.9 22,26.5 8,68.9 31,-0.41 42,2022-01-17
1222,18,Utah,P12,1,0–1 0–1,108.0 22,98.0 36,.7529 18,39.5 74,46.9 29,21.5 57,12.3 71,38.5 9,31.8 58,35.1 33,18.5 12,40.5 74,51.3 45,25.0 60,26.9 25,35.1 49,40.0 50,65.0 64,-0.49 43,2022-01-17
1223,30,Arizona St.,P12,1,1–0 1–0,96.5 46,93.2 13,.5997 30,46.9 54,39.5 9,12.3 11,21.5 26,31.8 25,38.5 73,18.5 71,35.1 50,51.3 37,40.5 9,26.9 58,25.0 18,40.0 32,35.1 34,65.9 60,+0.16 14,2022-01-17
1224,33,Notre Dame,ACC,1,1–0 0–0,102.3 37,100.0 39,.5641 33,58.3 13,45.8 28,21.9 59,13.1 67,14.8 80,19.4 17,39.6 25,25.0 23,63.3 9,45.9 28,33.3 41,30.4 31,37.5 43,38.3 45,65.4 63,+0.15 15,2022-01-17
1225,35,Nebraska,B10,1,0–1 0–1,114.2 11,112.3 67,.5473 35,52.9 34,58.0 66,19.2 44,20.7 28,25.0 48,34.6 67,41.2 21,56.0 77,52.9 31,62.2 72,35.3 35,30.8 32,33.3 54,26.0 7,67.5 49,-0.6 44,2022-01-17
1226,1,Miami FL,ACC,1,1–0 1–0,132.7 3,74.3 1,.9987 1,56.3 26,38.5 6,5.8 1,20.2 28,21.1 58,32.6 51,34.9 32,16.9 9,45.7 53,45.7 19,46.4 14,20.0 7,44.4 17,46.2 59,66.4 42,+0.5 7,2022-01-18
1227,2,Missouri,SEC,1,1–0 1–0,122.1 10,82.6 4,.9890 2,66.7 7,39.3 8,21.7 53,20.2 28,42.9 2,31.1 49,27.5 43,21.3 20,63.6 8,38.5 7,57.1 4,27.3 15,13.7 72,36.1 31,66.1 43,+0.45 9,2022-01-18
1228,3,Michigan,B10,1,1–0 1–0,135.7 2,95.9 26,.9818 3,65.0 8,53.8 40,12.7 11,20.7 25,39.1 6,20.7 12,8.3 71,21.2 19,67.5 1,54.3 52,40.0 26,35.3 37,33.3 51,32.7 19,63.2 58,+0.24 16,2022-01-18
1229,6,Connecticut,BE,1,1–0 1–0,115.5 20,87.0 7,.9631 6,47.7 46,34.7 2,13.2 14,14.6 54,39.0 7,29.8 44,35.9 31,49.2 61,47.6 48,30.2 2,31.8 45,31.3 25,34.4 47,27.1 6,71.9 7,+0.16 19,2022-01-18
1230,8,Texas Tech,B12,1,1–0 1–0,117.7 15,91.1 14,.9497 8,46.7 48,40.5 11,19.0 41,23.3 17,33.3 18,38.1 62,82.6 1,23.8 24,56.7 16,48.6 30,18.8 68,19.2 6,34.8 45,41.3 46,69.5 22,+0.36 10,2022-01-18
1231,9,Baylor,B12,1,1–0 1–0,121.3 11,94.0 20,.9491 9,56.7 24,45.1 20,19.1 42,17.7 37,30.3 26,33.3 52,18.3 59,26.2 29,48.5 44,42.5 14,44.4 18,33.3 29,45.0 15,34.4 25,67.1 37,+0.6 5,2022-01-18
1232,11,Florida St.,ACC,1,1–0 1–0,117.1 16,92.2 17,.9400 11,40.4 63,58.2 53,7.0 2,21.1 23,38.8 9,23.3 19,34.2 33,32.7 39,39.6 65,53.1 47,28.0 56,43.5 52,34.2 49,41.8 48,63.0 59,+0.7 3,2022-01-18
1233,12,Kansas,B12,1,1–0 1–0,117.1 17,93.7 19,.9285 12,54.4 31,46.4 23,20.7 47,17.5 39,36.7 13,36.4 58,10.5 70,32.1 37,47.5 49,51.3 42,47.1 13,23.5 10,29.8 62,30.4 14,64.6 50,+0.7 2,2022-01-18
1234,13,Kansas St.,B12,1,1–0 1–0,122.9 9,98.7 29,.9255 13,52.8 35,46.8 26,16.7 28,18.3 33,36.4 14,33.3 52,29.6 41,55.3 65,50.0 33,53.3 48,38.9 30,23.5 10,33.3 51,36.2 32,63.4 57,+0.8 1,2022-01-18
1235,14,Tennessee,SEC,1,1–0 1–0,102.3 45,82.5 3,.9225 14,38.4 68,44.9 19,19.8 43,29.6 5,35.9 16,25.7 28,51.8 10,46.9 58,42.4 60,43.5 15,21.7 65,30.8 23,41.1 29,53.1 67,70.6 16,+0.6 6,2022-01-18
1236,15,Oklahoma,B12,1,0–1 0–1,113.5 26,92.0 16,.9184 15,46.4 50,54.4 42,17.5 34,20.7 25,36.4 14,36.7 60,32.1 36,10.5 3,51.3 31,47.5 24,23.5 62,47.1 60,30.4 59,29.8 11,60.9 69,-0.28 41,2022-01-18
1237,16,Ohio St.,B10,1,1–0 0–0,118.2 14,95.8 25,.9182 16,68.4 4,36.3 4,13.5 16,35.4 1,38.1 10,23.1 18,38.8 28,30.0 33,65.4 5,37.0 5,47.8 12,23.1 9,46.9 13,32.5 18,63.7 55,+0.00 36,2022-01-18
1238,17,Syracuse,ACC,1,1–0 1–0,127.2 4,104.2 40,.9083 17,61.2 12,55.6 46,13.8 17,12.5 63,29.0 33,11.8 4,44.8 18,17.5 13,61.1 11,63.9 66,40.9 25,29.6 20,37.9 37,42.9 52,73.1 4,+0.28 12,2022-01-18
1239,18,Wisconsin,B10,1,1–0 1–0,124.4 6,103.1 38,.8965 18,60.2 17,51.4 34,15.6 26,11.3 66,23.3 51,29.3 42,48.1 14,11.3 4,51.4 29,51.0 41,52.9 7,35.0 35,31.5 56,28.2 8,69.9 21,+0.5 8,2022-01-18
1240,21,Arkansas,SEC,1,1–0 1–0,106.4 40,88.4 12,.8937 21,40.7 61,39.8 9,15.2 20,24.8 12,40.0 5,34.1 56,55.9 6,40.7 50,50.0 33,36.1 4,0.0 72,30.4 22,18.6 71,39.0 39,69.0 27,+0.19 18,2022-01-18
1241,22,Vanderbilt,SEC,1,0–1 0–1,101.1 46,87.1 8,.8476 22,44.9 54,38.4 5,29.6 68,19.8 30,25.7 43,35.9 57,46.9 15,51.8 63,43.5 58,42.4 13,30.8 49,21.7 8,53.1 6,41.1 44,70.6 16,-0.35 47,2022-01-18
1242,23,Iowa St.,B12,1,0–1 0–1,108.6 37,94.1 21,.8378 23,40.5 62,46.7 24,23.3 56,19.0 32,38.1 10,33.3 52,23.8 49,82.6 72,48.6 40,56.7 57,19.2 67,18.8 5,41.3 27,34.8 28,69.4 23,-0.12 38,2022-01-18
1243,25,West Virginia,B12,1,0–1 0–1,111.8 33,98.9 31,.8023 25,45.1 53,56.7 49,17.7 35,19.1 31,33.3 18,30.3 46,26.2 44,18.3 14,42.5 59,48.5 28,33.3 41,44.4 54,34.4 47,45.0 58,67.5 34,-0.32 44,2022-01-18
1244,28,Texas,B12,1,0–1 0–1,114.1 24,102.5 37,.7729 28,46.8 47,52.8 38,18.3 40,16.7 45,33.3 18,36.4 58,55.3 7,29.6 32,53.3 24,50.0 34,23.5 62,38.9 43,36.2 40,33.3 21,60.6 70,-0.7 59,2022-01-18
1245,31,Duke,ACC,1,0–1 0–1,115.0 22,106.9 45,.6990 31,58.2 20,40.4 10,21.1 49,7.0 71,23.3 51,38.8 64,32.7 34,34.2 40,53.1 26,39.6 8,43.5 21,28.0 17,41.8 25,34.2 24,62.7 61,-0.6 52,2022-01-18
1246,37,South Carolina,SEC,1,0–1 0–1,97.6 58,92.3 18,.6574 37,39.8 64,40.7 12,24.8 60,15.2 51,34.1 17,40.0 68,40.7 23,55.9 67,36.1 69,50.0 34,30.4 51,0.0 1,39.0 34,18.6 2,69.0 27,-0.25 39,2022-01-18
1247,39,Northwestern,B10,1,0–1 0–1,116.5 18,110.7 56,.6430 39,51.4 39,60.2 56,11.3 7,15.6 47,29.3 31,23.3 19,11.3 69,48.1 59,51.0 32,51.4 43,35.0 37,52.9 66,28.2 65,31.5 17,71.4 9,-0.6 54,2022-01-18
1248,41,Clemson,ACC,1,0–1 0–1,112.5 30,107.6 49,.6249 41,55.6 27,61.2 61,12.5 10,13.8 55,11.8 69,29.0 39,17.5 60,44.8 55,63.9 7,61.1 62,29.6 52,40.9 48,42.9 21,37.9 35,71.6 8,-0.36 49,2022-01-18
1249,56,Butler,BE,1,0–1 0–1,92.8 63,99.6 36,.3068 56,34.7 71,47.7 27,14.6 19,13.2 59,29.8 29,39.0 66,49.2 12,35.9 42,30.2 71,47.6 25,31.3 47,31.8 27,27.1 67,34.4 25,70.6 16,-0.28 42,2022-01-18
1250,58,Maryland,B10,1,0–1 0–1,108.3 39,118.4 64,.2649 58,53.8 33,65.0 65,20.7 47,12.7 62,20.7 60,39.1 67,21.2 54,8.3 2,54.3 21,67.5 72,35.3 36,40.0 46,32.7 53,33.3 21,63.5 56,-0.28 40,2022-01-18
1251,68,North Carolina,ACC,1,0–1 0–1,86.8 69,109.2 53,.0669 68,38.5 67,56.3 47,20.2 44,5.8 72,32.6 22,21.1 15,16.9 63,34.9 41,45.7 53,45.7 19,20.0 66,46.4 59,46.2 14,44.4 56,68.8 29,-0.33 45,2022-01-18
1252,70,Mississippi,SEC,1,0–1 0–1,86.9 68,118.5 66,.0274 70,39.3 65,66.7 66,20.2 44,21.7 19,31.1 24,42.9 71,21.3 52,27.5 30,38.5 66,63.6 65,27.3 58,57.1 69,36.1 42,13.7 1,65.8 46,-0.9 68,2022-01-18
1253,1,Creighton,BE,1,1–0 1–0,122.4 3,83.2 7,.9884 1,61.3 13,42.1 18,25.9 73,13.6 66,44.1 4,25.5 32,24.2 40,17.1 24,48.6 37,44.0 27,51.9 3,25.0 20,43.5 25,28.6 13,67.0 35,+0.34 10,2022-01-19
1254,2,Auburn,SEC,1,1–0 1–0,113.1 14,84.5 11,.9661 2,52.8 30,47.0 30,11.7 5,26.3 5,41.0 6,24.2 29,12.5 68,36.0 59,63.9 9,43.2 24,27.8 49,38.5 57,50.0 13,26.0 10,66.8 41,+0.09 23,2022-01-19
1255,4,Marquette,BE,1,1–0 1–0,103.3 35,77.9 4,.9625 4,53.9 27,43.1 24,18.1 43,16.5 48,6.9 78,27.8 40,3.9 78,8.6 6,36.4 72,47.1 34,44.8 11,25.0 20,56.9 3,41.4 46,65.5 55,+0.8 1,2022-01-19
1256,7,Virginia Tech,ACC,1,1–0 1–0,109.7 22,87.2 16,.9336 7,55.7 22,48.2 35,28.8 76,15.2 59,44.4 3,30.6 51,7.5 74,16.1 17,65.5 7,51.7 47,29.2 47,29.6 33,45.3 18,48.2 64,59.1 76,+0.38 8,2022-01-19
